author,img,intro,name,state,type,url
永恒之火,//bookcover.yuewen.com/qdbimg/349573/3173393/150,这是一个读书人掌握天地之力的世界。才气在身，诗可杀敌，词能灭军，文章安天下。秀才提笔，纸上谈兵；举人杀敌，出口成章；进士一怒，唇枪舌剑。圣人驾临，口诛笔伐，可诛人，可判天子无道，以一敌国。此时，圣院把,儒道至圣,连载中,东方玄幻,//book.qidian.com/info/3173393
厌笔萧生,//bookcover.yuewen.com/qdbimg/349573/3258971/150,千万年前，李七夜栽下一株翠竹。八百万年前，李七夜养了一条鲤鱼。五百万年前，李七夜收养一个小女孩。今天，李七夜一觉醒来，翠竹修练成神灵，鲤鱼化作金龙，小女孩成为九界女帝。这是一个养成的故事，一个不死的人,帝霸,连载中,东方玄幻,//book.qidian.com/info/3258971
十二翼黑暗炽天使,//bookcover.yuewen.com/qdbimg/349573/1003692682/150,未来波澜壮阔的星际时代，人类终于攻克了空间传送技术，可是当人类传送到另一端的时候，却发现那里并不是过去未来，也不是星空下的任何一片土地……神秘的庇护所世界，无数强横的异生物，人类迎来了令人热血沸腾的飞,超级神基因,连载中,高武世界,//book.qidian.com/info/1003692682
突然光和热,//bookcover.yuewen.com/qdbimg/349573/1009861243/150,这是一个信仰诸神的世界，这里有百万神灵，神灵的力量涉及方方面面。一个《地下城与勇士》的圣职者玩家，带着圣职者的技能来到了这个世界，随后他创建了一个教会，萌神教。PS：已经有鬼剑士职业的《神鬼剑士》，神,萌神信徒,连载中,游戏异界,//book.qidian.com/info/1009861243
开荒,//bookcover.yuewen.com/qdbimg/349573/1005188495/150,三年之后，战死广林山的上官玄昊，以应试弟子张信的身份，再次踏入了日月玄宗的天柱山别院，开始了他刀戡日月，剑削星河之路！开荒官方粉丝群：340513328，刀镇星河书友群：298631883，刀镇星河V,刀镇星河,连载中,东方玄幻,//book.qidian.com/info/1005188495
十步行,//bookcover.yuewen.com/qdbimg/349573/3657207/150,浩瀚星空下，一个妖魔横行的世界。在这里，流云铁袖可以吞纳风云，九字真言可以降妖伏魔，太极拳剑可以扭动乾坤，这是一个属于武道的大汉天朝。当诸强的后代斩断传承，亿万年的战血蒸干混沌。当沉寂的战魂复苏，当时,纯阳武神,连载中,东方玄幻,//book.qidian.com/info/3657207
楚白,//bookcover.yuewen.com/qdbimg/349573/1009644207/150,当奇幻变成现实，世界是否依旧美好？这是一群穿越到奇幻游戏世界的玩家们，和自己曾经熟悉的世界碰撞，改变自己也改变世界的故事。书友群：122789154（邪神旌旗）,莽穿新世界,连载中,史诗奇幻,//book.qidian.com/info/1009644207
石章鱼,//bookcover.yuewen.com/qdbimg/349573/1004650252/150,风本无形，我欲猎风！九州笑傲，替天行盗！青铜巨椁悬浮幽谷，红衣女尸沉睡千年。瀚海地宫斗转星移，冰海沉船阴魂不散。朝代更迭，世纪交接，一场惊天动地的风暴突然席卷神州，群雄并起，妖魔乱舞，山崩地裂，风云变,替天行盗,连载中,架空历史,//book.qidian.com/info/1004650252
孤独漂流,//bookcover.yuewen.com/qdbimg/349573/1004086548/150,2019年9月23日凌晨，天灾降临。天道生变，万灵欲念执念充斥天地，天道不能承受，恶念横行，众生意念演变幻想世界，恶念，善念，执念，欲望纠缠不休，天道无法承受，已到极限，极则变，幻想降临，万界相融，万,永恒国度,连载中,神话修真,//book.qidian.com/info/1004086548
七月新番,//bookcover.yuewen.com/qdbimg/349573/1011097497/150,战国之末，华夏千年未有之大变局。有人天生世卿。有人贵为公子。他却重生成秦国小卒黑夫，云梦秦简中的小人物。为免死于沟壑，为掌握自己命运，他奋力向上攀爬。好在，他赶上了一个大时代。六王毕，四海一！千年血统,秦吏,连载中,上古先秦,//book.qidian.com/info/1011097497
齐橙,//bookcover.yuewen.com/qdbimg/349573/1004151636/150,冶金装备、矿山装备、电力装备、海工装备……一个泱泱大国，不能没有自己的重型装备工业。国家重大装备办处长冯啸辰穿越到了1980年，看他如何与同代人一道，用汗水和智慧，铸就大国重工,大国重工,连载中,都市生活,//book.qidian.com/info/1004151636
南极烈日,//bookcover.yuewen.com/qdbimg/349573/1003504656/150,商通万界，让所有人给我打工。周阳意外获得万界商铺系统，交易万千位面。“我曾举行一次小型拍卖会，来到的皇帝就有一百多位，听说还有两个叫李世民的皇帝。”“我曾让神雕世界的所有人，帮我养殖菩斯曲蛇。”“我曾,史上最强店主,连载中,时空穿梭,//book.qidian.com/info/1003504656
刀一耕,//bookcover.yuewen.com/qdbimg/349573/3516230/150,李谦重生了。另外一个时空的1995年。在这里，他当然比普通人更容易获得成功。但成功是什么？钱么？或者，名气？地位？荣耀？都是，但不全是。有了那回眸的浅浅一笑，那牵手的刹那温暖，那入怀的淡淡体香；这人生,完美人生,完本,都市生活,//book.qidian.com/info/3516230
太上布衣,//bookcover.yuewen.com/qdbimg/349573/1003899336/150,原书名《最强装逼打脸系统》！最强反套路，我TM反手就是一个套路，横扫修仙界无敌手，就问一声还有谁？装逼如风，常伴吾身！长路漫漫，装逼相伴！生死看淡，不服就干！“年轻人，当年我开始套路的时候，你们还在穿,最强反套路系统,连载中,幻想修仙,//book.qidian.com/info/1003899336
